Subject Code,Title,90,180,365
SUB-1,"하루에 한 번, 180일간 압축해서 배우는 한국 근현대사 주요 흐름",,"₩29,400",
SUB-22,"하루에 한 줄, 누구나 한 번쯤 들어본 팝송 속 영어 표현",,"₩29,400","₩38,500"
SUB-25,"하루에 한 줄, 7080 시티팝 속 매력적인 일본어 표현",,"₩29,400","₩38,500"
SUB-28,"하루에 한 줄, 영화와 드라마 OST 속 감성적인 일본어 표현",,"₩29,400","₩38,500"
SUB-31,"하루에 한 문장, 미드 프렌즈 속 영어 표현",,"₩29,400",
SUB-33,"하루에 한 개, 쉽고 빠른 한 그릇 레시피",,"₩9,800","₩14,700"
SUB-34,"하루에 한 개, 더 깊어지는 연인 간의 대화 주제",,"₩9,800","₩14,700"
SUB-35,"하루에 한 문장, 목표 달성을 위한 동기부여 명언",,"₩9,800","₩14,700"
SUB-36,"하루에 한 문장, 마음의 평화를 불러오는 명언",,"₩9,800","₩14,700"
SUB-38,"하루에 한 번, 토익 기출 단어 5개",,"₩19,600","₩24,500"
SUB-39,"하루에 한 문장, 미드 굿플레이스 속 영어 표현",,"₩29,400","₩38,500"
SUB-4,"하루에 한 번, 사회 초년생의 생애 첫 금융 공부",,"₩29,400",
SUB-43,"하루에 한 문장, BBC 뉴스 팟캐스트 속 영어 표현",,"₩29,400","₩38,500"
SUB-44,"하루에 한 번, JLPT 합격을 위한 기출 단어 5개 (N1-N2)",,"₩19,600","₩24,500"
SUB-45,"하루에 한 번, 글로벌 뉴스로 배우는 고급 실용 영어",,"₩29,400","₩38,500"
SUB-46,"하루에 한 번, 자본주의 필수 교양 실전 경제 뉴스",,"₩29,400","₩38,500"
SUB-47,"하루에 한 번, JLPT 합격을 위한 기출 단어 5개 (N3-N5)",,"₩19,600","₩24,500"
SUB-48,"하루에 한 패턴, 90일 완성 여행 영어 회화","₩19,600",,
SUB-49,"하루에 한 패턴, 90일만에 바로 써먹는 여행 일본어","₩19,600",,
SUB-5,"하루에 한 번, 미국 주식 투자 첫걸음",,"₩29,400",
SUB-50,"하루에 한 단어, 초보 투자자를 위한 주식 용어",,"₩29,400","₩38,500"
SUB-56,"하루에 한 번, 180일간 압축해서 배우는 세계사의 주요 사건과 흐름",,"₩29,400",
SUB-57,"하루 한 번, 90일 토익스피킹 챌린지 : AL-AH 완성 루틴","₩19,600",,
SUB-58,"하루 한 번, 180일 토익스피킹 챌린지 : IM2~AL 완성 루틴",,"₩29,400",
SUB-60,"하루에 한 번, 우리 사회의 주요 이슈 속 용어와 원리 쉽게 풀어보기",,"₩29,400","₩38,500"
SUB-61,"하루에 한 번, 내 사주로 알아보는 오늘의 운세",,"₩29,400","₩38,500"
SUB-62,"하루에 한 번, 180일간의 서양 철학사 : 인류 사유의 여정",,"₩29,400",
SUB-63,"하루에 한 번, 하나의 사회 이슈 속 두 개의 관점",,"₩29,400","₩38,500"
SUB-64,"하루에 한 번, 직장인 재테크 부동산 뉴스 3줄 요약과 Q&A",,"₩29,400","₩38,500"
SUB-65,"하루에 한 이야기,  중세 시대를 살아간 사람들의 삶은 어땠을까?",,"₩29,400",
SUB-66,"하루에 한 번, 180일 동안 살펴보는 일본사의 주요 흐름",,"₩29,400",
SUB-67,"하루에 한 번, 시대를 넘나들며 살펴보는 일본 사회의 관습과 문화",,"₩29,400",
SUB-68,"하루 한 번, 90일 오픽 말하기 챌린지 : IH-AL 완성 루틴","₩19,600",,
SUB-69,"하루 한 번, 180일 오픽 말하기 챌린지 : IM2~IH 완성 루틴",,"₩29,400",
SUB-7,"하루에 한 줄, 영화 OST 로 쉽게 배우는 영어 표현",,"₩29,400","₩38,500"
SUB-70,"하루 한 번, 오즈의 마법사 영어 원서 읽기","₩19,600",,
SUB-71,"하루 한 번, 이상한 나라의 앨리스 영어 원서 읽기","₩19,600",,
SUB-72,"하루 한 번, 오만과 편견 영어 원서 읽기",,"₩29,400",
SUB-74,"하루 한 번, 출근길에 읽는 〈쇼펜하우어〉의 지혜",,"₩29,400",
SUB-75,"하루 한 번, 실무에서 쓰이는 실전 비즈니스 일본어",,"₩29,400","₩38,500"
SUB-76,"하루 한 번, 글로벌 경제 뉴스로 보는 투자 인사이트",,"₩29,400","₩38,500"
SUB-77,"하루 한 번, 영어 일잘러를 위한 바로쓰는 비즈니스 영어",,"₩29,400",
SUB-78,"하루 한 번, 부담 없이 읽는 고전 〈삼국지〉",,"₩29,400",
SUB-81,"하루에 한 번, 왕초보도 바로 써먹는 일본어 첫걸음",,"₩29,400",
SUB-83,"하루에 한 번, 광고 속 카피로 배우는 일본어",,"₩29,400","₩38,500"
SUB-90,세무사가 알려주는 돈 버는 세무 상식,,"₩29,400",
SUB-95,"하루에 한 번, 실시간 검색어 HOT 8",,"₩29,400","₩38,500"
SUB-96,싸우지 않고 이기는 법 ‘손자병법(孫子兵法)’ ,,"₩29,400",